id,product_id,transaction_id,product_name,quantity,price,subtotal
019f3fc9-4ff1-7c33-b667-632b96397105,019f3fc7-5524-7c08-bcfc-5203620cea41,019f3fc9-4d14-7a00-b3c8-cf9dafcf3eb5,Bay Leaves 100g,2,5000.00,10000.00
019f3fc9-52ce-716c-abc3-06e7984e3caa,019f3fc7-4f6a-796a-b769-d1102a30d097,019f3fc9-4d14-7a00-b3c8-cf9dafcf3eb5,Red Chili Pepper 250g,3,11000.00,33000.00
019f3fc9-5888-7992-b624-6b2cda1d7783,019f3fc7-5247-7de1-89d9-7df7e2761614,019f3fc9-55ab-72a9-83d6-0e13a0fe5f19,Fresh Lemongrass 200g,1,6000.00,6000.00
019f3fc9-5b65-7344-a799-a1f4ee607bc0,019f3fc7-4c8d-7da7-9c44-50a757b1e105,019f3fc9-55ab-72a9-83d6-0e13a0fe5f19,Fresh Ginger 250g,1,8500.00,8500.00
019f3fc9-611f-7014-b1b8-77f3200d2914,019f3fc7-6652-7c97-b6b5-b2be23ec4f29,019f3fc9-5e42-738d-b593-702c41280122,Fresh Sweet Potato 1kg,2,10000.00,20000.00
019f3fc9-66d9-74fb-b502-dc85d277d5ff,019f3fc7-2754-75b7-b868-86f58ddb8d9f,019f3fc9-63fc-74d2-b160-8a591a82c04a,Organic Green Apple 1kg,3,28000.00,84000.00
019f3fc9-6c93-79e1-9207-6706588a27e9,019f3fc7-5801-78e3-aded-b3ccf1a0128c,019f3fc9-69b6-7516-b034-84117aea561b,Balinese Mangosteen 1kg,2,32000.00,64000.00
019f3fc9-6f70-7cfb-abd1-c972d564a55b,019f3fc7-6098-7f9e-9867-9e9d2622de7c,019f3fc9-69b6-7516-b034-84117aea561b,Golden Pineapple 1pc,1,18000.00,18000.00
019f3fc9-724d-72cc-aa80-eae88a38c677,019f3fc7-5dbb-74bd-9c58-6b08fe886cfa,019f3fc9-69b6-7516-b034-84117aea561b,Sweet Rambutan 1kg,2,22000.00,44000.00
019f3fc9-7807-755a-afde-1922415c862e,019f3fc7-6652-7c97-b6b5-b2be23ec4f29,019f3fc9-752a-7759-89c5-1cae17d39051,Fresh Sweet Potato 1kg,1,10000.00,10000.00
019f3fc9-7ae4-7580-a675-ee21b28211f6,019f3fc7-692f-7d2e-b9d5-cab0b5a6bc88,019f3fc9-752a-7759-89c5-1cae17d39051,Purple Yam (Ubi Ungu) 1kg,1,12000.00,12000.00
019f3fc9-809e-7567-b29f-e03f757f7c94,019f3fc7-3b5f-7143-8f73-4202813edb4e,019f3fc9-7dc1-7bd8-b447-e53b76c37126,Premium White Rice 5kg,3,68000.00,204000.00
019f3fc9-837b-7ad4-8574-9e2fddeec22e,019f3fc7-46d3-7a9f-9112-221661990274,019f3fc9-7dc1-7bd8-b447-e53b76c37126,Yellow Corn Kernels 1kg,1,18000.00,18000.00
019f3fc9-8658-7dd1-9131-34d014383048,019f3fc7-43f6-79f2-bd9c-20ace5071553,019f3fc9-7dc1-7bd8-b447-e53b76c37126,Glutinous Rice 2kg,1,38000.00,38000.00
019f3fc9-8c12-7783-a245-aa30f118c2d7,019f3fc7-35a5-706b-8cc0-9ada38396f30,019f3fc9-8935-7d90-a987-9df071aaf362,Red Cabbage 500g,2,8000.00,16000.00
019f3fc9-8eef-7fa8-afba-d76620aa8404,019f3fc7-2feb-7bda-a32b-4025a480151d,019f3fc9-8935-7d90-a987-9df071aaf362,Fresh Lettuce Head 400g,2,7000.00,14000.00
019f3fc9-91cc-72d7-8fca-b98da7da56d4,019f3fc7-32c8-766d-bd88-67b39a508061,019f3fc9-8935-7d90-a987-9df071aaf362,Fresh Carrots 1kg,1,9500.00,9500.00
019f3fc9-9786-7472-a182-7f427d1e9d51,019f3fc7-2754-75b7-b868-86f58ddb8d9f,019f3fc9-94a9-79de-bcc1-09c7cb2e716b,Organic Green Apple 1kg,1,28000.00,28000.00
019f3fc9-9a63-799e-a02c-9f3e95168ccf,019f3fc7-2a31-710d-8cfb-3179190c30c8,019f3fc9-94a9-79de-bcc1-09c7cb2e716b,Organic Kale 300g,1,13500.00,13500.00
